-0.14, 0.05, 1.05, -0.183, -49.461, -7.149, 203.41, 406.40, -1055.01
-0.05, 0.03, 1.02, -5.394, -64.438, -4.013, 205.18, 464.96, -1019.22
0.08, 0.01, 1.00, 0.969, -73.975, -11.024, 206.95, 580.32, -997.06
0.24, 0.00, 0.81, 8.041, -117.310, -12.405, 206.95, 580.32, -997.06
0.49, 0.10, 0.74, 6.172, -105.087, -18.135, 221.10, 718.74, -908.44
0.49, 0.16, 0.54, -21.751, -133.667, -20.493, 254.71, 827.00, -749.93
0.71, 0.12, 0.44, -11.818, -138.687, 5.867, 268.86, 897.98, -593.13
0.80, 0.19, 0.15, -7.843, -250.000, -16.586, 275.93, 922.83, -409.05
0.84, 0.09, -0.34, -1.457, -67.787, 6.477, 302.47, 828.77, -124.42
0.68, 0.08, -0.41, 9.590, -64.285, 4.738, 302.47, 828.77, -124.42
0.79, 0.14, -0.51, 25.146, -98.671, 1.770, 279.47, 780.85, -44.31
0.61, 0.02, -0.53, -8.904, -43.594, -26.718, 286.55, 713.42, 34.09
0.58, 0.09, -0.76, -6.203, -85.846, 20.576, 265.32, 642.43, 88.63
0.12, 0.12, -0.83, -19.218, -168.861, -47.134, 295.39, 459.64, 192.60
-0.29, 0.21, -0.93, -1.671, -198.280, -62.622, 325.46, 184.57, 201.12
-0.63, 0.09, -1.65, -81.177, -91.583, -12.161, 325.46, 184.57, 201.12
-0.66, 0.65, -0.44, -171.410, -52.444, -5.165, 323.69, -15.97, 151.69
-0.74, 0.34, -0.64, 133.751, -191.444, -95.047, 507.65, -79.86, 15.34
-0.71, 0.32, -0.79, 91.194, -8.652, -39.116, 406.83, -188.11, -68.18
-0.87, 0.15, -0.58, 49.622, -62.668, -41.725, 297.16, -255.55, -81.81
-0.96, 0.06, -0.43, 41.115, -74.661, 5.020, 242.33, -285.72, -185.78
-1.07, 0.10, -0.47, 32.845, -64.735, 6.699, 242.33, -285.72, -185.78
-1.09, 0.04, -0.23, 26.947, -75.127, -1.457, 242.33, -299.92, -298.27
-1.22, 0.08, -0.16, 18.089, -65.086, -28.114, 233.48, -312.34, -398.83
-1.13, -0.01, 0.05, -35.278, -82.390, 6.981, 196.34, -303.47, -519.84
-1.30, 0.16, -0.06, 35.599, -46.608, -69.504, 178.65, -289.27, -625.51
-1.12, -0.12, 0.30, -14.763, -73.990, -10.521, 148.58, -252.00, -709.02
-1.08, -0.26, 0.31, -5.402, -158.409, 36.880, 148.58, -252.00, -709.02
-1.07, -0.03, 0.70, 36.057, -197.433, 18.501, 125.59, -168.59, -812.99
-0.78, -0.05, 0.86, 27.557, -131.996, -2.365, 159.19, 3.55, -974.91
-0.45, 0.03, 0.97, -13.786, -26.749, -31.845, 176.88, 145.52, -1029.45
-0.42, 0.00, 1.04, 27.229, -93.452, -3.319, 173.34, 244.90, -1053.31
-0.42, -0.02, 0.96, -2.876, -24.719, -43.732, 215.79, 404.62, -1046.49
-0.05, 0.05, 0.94, 33.180, -148.048, -6.882, 215.79, 404.62, -1046.49
0.15, 0.08, 1.03, -5.577, -78.979, 25.688, 258.25, 518.20, -1036.27
0.12, 0.06, 0.94, -46.707, 62.263, 7.057, 237.02, 642.43, -961.27
0.03, -0.01, 0.97, -17.876, -70.030, 18.677, 198.11, 667.28, -947.64
0.27, 0.00, 0.87, -4.234, -28.038, -0.877, 187.49, 731.16, -872.64
0.28, 0.00, 0.91, -21.736, 144.196, -25.238, 187.49, 731.16, -872.64
0.09, -0.00, 1.02, -9.361, 45.105, -6.378, 198.11, 695.67, -930.59
-0.01, -0.03, 0.97, 0.000, 21.034, -4.807, 183.96, 564.34, -1009.00
-0.25, -0.05, 0.93, -5.440, 181.847, -30.800, 173.34, 539.50, -1019.22
-0.35, -0.02, 1.03, -2.861, 48.477, -2.365, 171.57, 353.16, -1065.24
-0.45, -0.05, 0.95, 2.014, 66.025, -16.533, 180.42, 273.30, -1060.13
-0.54, -0.03, 0.98, -2.693, 38.467, 5.524, 176.88, 170.37, -1026.04
-0.48, -0.05, 0.93, 3.769, -82.008, 41.145, 176.88, 170.37, -1026.04
-0.43, -0.05, 0.96, -8.522, 10.033, -5.737, 173.34, 244.90, -1056.72
-0.52, -0.03, 0.94, -4.356, 7.996, -0.603, 178.65, 267.97, -1058.42
-0.52, -0.03, 0.96, 0.610, -9.407, 2.060, 178.65, 250.23, -1068.65
-0.49, -0.01, 0.98, 2.876, -2.731, -4.562, 187.49, 269.75, -1056.72
-0.44, -0.01, 0.99, 1.366, -18.898, 6.302, 187.49, 273.30, -1043.08
-0.49, -0.03, 0.95, -2.800, -4.288, 7.980, 187.49, 273.30, -1043.08
-0.41, 0.00, 0.96, -1.892, -1.152, -0.130, 201.64, 294.59, -1053.31
-0.42, 0.02, 0.99, -6.691, 0.328, 0.496, 205.18, 308.79, -1053.31
-0.40, -0.01, 0.99, -5.302, -3.639, 2.960, 199.88, 299.92, -1044.79
-0.41, -0.01, 1.01, -4.211, 1.038, -0.198, 205.18, 312.34, -1056.72
-0.42, -0.02, 0.96, 9.033, -6.432, 1.793, 198.11, 308.79, -1063.54
-0.42, -0.00, 0.97, 0.519, -2.754, 1.617, 198.11, 308.79, -1063.54
-0.41, 0.03, 0.99, -3.952, -0.153, 0.801, 203.41, 321.21, -1034.56
-0.35, 0.01, 1.04, -4.799, 2.769, -1.862, 183.96, 301.69, -1036.27
-0.43, -0.02, 0.97, -3.517, -0.488, -6.058, 199.88, 314.12, -1048.20
-0.40, -0.02, 1.00, 0.359, 0.465, -1.663, 180.42, 337.19, -1070.35
-0.38, -0.02, 0.97, -7.233, -4.845, -9.338, 180.42, 337.19, -1070.35
-0.34, -0.02, 0.93, 6.760, -10.956, 9.018, 194.57, 330.09, -1066.94
-0.33, -0.00, 1.06, 3.471, -7.271, 10.010, 198.11, 333.64, -1056.72
-0.33, -0.01, 0.99, 4.906, -7.523, 2.365, 185.73, 342.51, -1061.83
-0.39, -0.03, 0.98, -0.916, 7.271, -5.836, 206.95, 356.71, -1061.83
-0.35, 0.00, 1.01, -0.023, 6.287, 0.366, 205.18, 340.74, -1070.35
-0.38, 0.01, 0.99, -7.553, 11.604, -7.545, 205.18, 340.74, -1070.35
-0.38, -0.00, 0.98, 0.641, -3.105, -5.096, 206.95, 338.96, -1058.42
-0.37, -0.01, 1.02, -3.059, -3.372, -2.335, 183.96, 330.09, -1063.54
-0.30, -0.01, 1.00, -12.215, -2.235, -3.357, 191.03, 347.83, -1060.13
-0.39, -0.05, 1.01, -33.348, 11.879, -9.285, 180.42, 347.83, -1053.31
-0.36, -0.14, 0.95, -23.926, -6.081, -22.636, 137.97, 333.64, -1063.54
-0.37, -0.19, 0.92, -55.984, 0.816, -17.921, 137.97, 333.64, -1063.54
-0.31, -0.23, 0.96, -62.233, -26.848, -12.901, 93.75, 331.86, -1041.38
-0.33, -0.52, 0.54, -50.117, -42.191, 4.570, 7.08, 337.19, -1022.63
-0.41, -0.45, 0.98, -26.932, -1.396, 18.974, -37.15, 370.91, -997.06
-0.31, -0.55, 0.95, -21.935, -21.843, -1.869, -72.52, 356.71, -986.84
-0.20, -0.57, 0.88, -71.548, -50.247, -27.321, -120.28, 401.07, -944.23
-0.10, -0.68, 0.71, -90.973, -16.861, 6.042, -120.28, 401.07, -944.23
-0.09, -0.74, 0.61, -77.377, -5.478, 3.006, -185.73, 456.09, -891.39
-0.05, -0.78, 0.51, -62.469, 2.884, -3.479, -270.63, 477.39, -799.36
0.00, -0.88, 0.39, -64.720, -3.342, -6.012, -284.78, 473.84, -717.55
